analog_libid,name_analog,parent_drug_libid,delta_mass,analog_mgf_scan,chemical_source,name_connected_compound,pharmacologic_class,therapeutic_area,therapeutic_indication,mechanism_of_action,inchikey
CCMSLIB00012725031,related spectra of 'massbank:tue00822 o-desmethylvenlafaxine (delta mass:-3.995)',CCMSLIB00005755108,-3.99,2671,Drug_suspect,desvenlafaxine,serotonin and norepinephrine reuptake inhibitor (SNRI),neurology/psychiatry,depression,serotonin and norepinephrine reuptake inhibitor (SNRI),KYYIDSXMWOZKMP-UHFFFAOYSA-N
CCMSLIB00012725032,related spectra of 'massbank:tue00822 o-desmethylvenlafaxine (delta mass:176.032)',CCMSLIB00005755108,176.03,2672,Drug_suspect,desvenlafaxine,serotonin and norepinephrine reuptake inhibitor (SNRI),neurology/psychiatry,depression,serotonin and norepinephrine reuptake inhibitor (SNRI),KYYIDSXMWOZKMP-UHFFFAOYSA-N
CCMSLIB00012725033,related spectra of 'massbank:uf404201 warfarin|coumafene (delta mass:15.995)',CCMSLIB00000223519,15.99,2673,Drug_suspect,warfarin,vitamin K antagonist,hematology|cardiology,deep vein thrombosis (DVT)|pulmonary embolism (PE)|atrial fibrillation (AF)|myocardial infarction|thromboembolism,vitamin K antagonist,PJVWKTKQMONHTI-UHFFFAOYSA-N
CCMSLIB00012725034,"related spectra of 'massbank:uf407901 paroxetine|3-(1,3-benzodioxol-5-yloxymethyl)-4-(4-fluorophenyl)piperidine (delta mass:2.016)'",CCMSLIB00000223641,2.02,2674,Drug_suspect,paroxetine,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression|obsessive compulsive disorder (OCD)|generalized anxiety disorder (GAD)|panic disorders|posttraumatic stress disorder|social anxiety disorder,selective serotonin reuptake inhibitor (SSRI),AHOUBRCZNHFOSL-UHFFFAOYSA-N
CCMSLIB00012725035,related spectra of 'massbank:uf408802 sulfapyridine|2-sulfapyridine|4-amino-n-(2-pyridinyl)benzenesulfonamide (delta mass:15.995)',CCMSLIB00000223677,15.99,2675,Drug_suspect,sulfapyridine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,GECHUMIMRBOMGK-UHFFFAOYSA-N
CCMSLIB00012725036,related spectra of 'massbank:uf408802 sulfapyridine|2-sulfapyridine|4-amino-n-(2-pyridinyl)benzenesulfonamide (delta mass:42.01)',CCMSLIB00000223677,42.01,2676,Drug_suspect,sulfapyridine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,GECHUMIMRBOMGK-UHFFFAOYSA-N
CCMSLIB00012725037,"related spectra of 'massbank:uf409901 sulfamethazine|sulfadimidin|4-amino-n-(4,6-dimethyl-2-pyrimidinyl)benzenesulfonamide (delta mass:-3.985)'",CCMSLIB00000223720,-3.99,2677,Drug_suspect|Background/QAQC,sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012725038,"related spectra of 'massbank:uf409901 sulfamethazine|sulfadimidin|4-amino-n-(4,6-dimethyl-2-pyrimidinyl)benzenesulfonamide (delta mass:-2.016)'",CCMSLIB00000223720,-2.02,2678,Drug_suspect|Background/QAQC,sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012725039,"related spectra of 'massbank:uf409901 sulfamethazine|sulfadimidin|4-amino-n-(4,6-dimethyl-2-pyrimidinyl)benzenesulfonamide (delta mass:2.004)'",CCMSLIB00000223720,2,2679,Drug_suspect|Background/QAQC,sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012725040,"related spectra of 'massbank:uf409901 sulfamethazine|sulfadimidin|4-amino-n-(4,6-dimethyl-2-pyrimidinyl)benzenesulfonamide (delta mass:27.995)'",CCMSLIB00000223720,27.99,2680,Drug_suspect|Background/QAQC,sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012725041,"related spectra of 'massbank:uf409901 sulfamethazine|sulfadimidin|4-amino-n-(4,6-dimethyl-2-pyrimidinyl)benzenesulfonamide (delta mass:162.053)'",CCMSLIB00000223720,162.05,2681,Drug_suspect|Background/QAQC,sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012725042,related spectra of 'massbank:uf411801 citalopram|1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-3h-2-benzofuran-5-carbonitrile (delta mass:-28.031)',CCMSLIB00000223791,-28.03,2682,Drug_suspect,citalopram,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression,selective serotonin reuptake inhibitor (SSRI),WSEQXVZVJXJVFP-UHFFFAOYSA-N
CCMSLIB00012725043,related spectra of 'massbank:uf411801 citalopram|1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-3h-2-benzofuran-5-carbonitrile (delta mass:-16.031)',CCMSLIB00000223791,-16.03,2683,Drug_suspect,citalopram,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression,selective serotonin reuptake inhibitor (SSRI),WSEQXVZVJXJVFP-UHFFFAOYSA-N
CCMSLIB00012725044,related spectra of 'massbank:uf411801 citalopram|1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-3h-2-benzofuran-5-carbonitrile (delta mass:-14.016)',CCMSLIB00000223791,-14.02,2684,Drug_suspect,citalopram,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression,selective serotonin reuptake inhibitor (SSRI),WSEQXVZVJXJVFP-UHFFFAOYSA-N
CCMSLIB00012725045,related spectra of 'massbank:uf411801 citalopram|1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-3h-2-benzofuran-5-carbonitrile (delta mass:15.995)',CCMSLIB00000223791,15.99,2685,Drug_suspect,citalopram,selective serotonin reuptake inhibitor (SSRI),neurology/psychiatry,depression,selective serotonin reuptake inhibitor (SSRI),WSEQXVZVJXJVFP-UHFFFAOYSA-N
CCMSLIB00012725046,related spectra of 'massbank:ut001011 phosphatidylcholine 16:0-16:0 (delta mass:-28.031)',CCMSLIB00005752372,-28.03,2686,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725047,related spectra of 'massbank:ut001011 phosphatidylcholine 16:0-16:0 (delta mass:-26.016)',CCMSLIB00005752372,-26.02,2687,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725048,related spectra of 'massbank:ut001011 phosphatidylcholine 16:0-16:0 (delta mass:0.984)',CCMSLIB00005752372,0.98,2688,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725049,related spectra of 'massbank:ut001011 phosphatidylcholine 16:0-16:0 (delta mass:1.003)',CCMSLIB00005752372,1,2689,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725050,related spectra of 'massbank:ut001011 phosphatidylcholine 16:0-16:0 (delta mass:2.004)',CCMSLIB00005752372,2,2690,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725051,related spectra of 'massbank:ut001011 phosphatidylcholine 16:0-16:0 (delta mass:2.016)',CCMSLIB00005752372,2.02,2691,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725052,related spectra of 'massbank:ut001011 phosphatidylcholine 16:0-16:0 (delta mass:12.036)',CCMSLIB00005752372,12.04,2692,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725053,related spectra of 'massbank:ut001011 phosphatidylcholine 16:0-16:0 (delta mass:14.016)',CCMSLIB00005752372,14.02,2693,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725054,related spectra of 'massbank:ut001011 phosphatidylcholine 16:0-16:0 (delta mass:28.031)',CCMSLIB00005752372,28.03,2694,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725055,related spectra of 'massbank:ut001747 phosphatidylcholine 16:0-16:0 (delta mass:-26.016)',CCMSLIB00005751921,-26.02,2695,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725056,related spectra of 'massbank:ut001747 phosphatidylcholine 16:0-16:0 (delta mass:-13.98)',CCMSLIB00005751921,-13.98,2696,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725057,related spectra of 'massbank:ut001747 phosphatidylcholine 16:0-16:0 (delta mass:2.016)',CCMSLIB00005751921,2.02,2697,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725058,related spectra of 'massbank:ut001747 phosphatidylcholine 16:0-16:0 (delta mass:12.036)',CCMSLIB00005751921,12.04,2698,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725059,related spectra of 'massbank:ut001747 phosphatidylcholine 16:0-16:0 (delta mass:14.016)',CCMSLIB00005751921,14.02,2699,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725060,related spectra of 'massbank:ut001747 phosphatidylcholine 16:0-16:0 (delta mass:15.995)',CCMSLIB00005751921,15.99,2700,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725061,related spectra of 'massbank:ut001747 phosphatidylcholine 16:0-16:0 (delta mass:28.031)',CCMSLIB00005751921,28.03,2701,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725062,related spectra of 'massbank:ut002028 phosphatidylcholine 16:0-16:0 (delta mass:-13.98)',CCMSLIB00005752766,-13.98,2702,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725063,related spectra of 'massbank:ut002028 phosphatidylcholine 16:0-16:0 (delta mass:-2.016)',CCMSLIB00005752766,-2.02,2703,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725064,related spectra of 'massbank:ut002756 phosphatidylcholine 16:0-16:0 (delta mass:-2.016)',CCMSLIB00005751911,-2.02,2704,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725065,related spectra of 'massbank:ut002756 phosphatidylcholine 16:0-16:0 (delta mass:12.036)',CCMSLIB00005751911,12.04,2705,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725066,related spectra of 'massbank:ut002756 phosphatidylcholine 16:0-16:0 (delta mass:21.984)',CCMSLIB00005751911,21.98,2706,Drug_suspect,colfosceril palmitate,lung surfactants,pulmonary,respiratory distress syndrome (RDS),pulmonary surfactant,KILNVBDSWZSGLL-UHFFFAOYSA-O
CCMSLIB00012725067,related spectra of 'massbankeu:sm818901 losartan|[2-butyl-5-chloro-3-[[4-[2-(2h-tetrazol-5-yl)phenyl]phenyl]methyl]imidazol-4-yl]methanol (delta mass:-18.011)',CCMSLIB00000841586,-18.01,2707,Drug_suspect,losartan,angiotensin II receptor blocker,cardiology|nephrology,hypertension|diabetic nephropathy,angiotensin receptor antagonist,PSIFNNKUMBGKDQ-UHFFFAOYSA-N
CCMSLIB00012725068,related spectra of 'massbankeu:sm818901 losartan|[2-butyl-5-chloro-3-[[4-[2-(2h-tetrazol-5-yl)phenyl]phenyl]methyl]imidazol-4-yl]methanol (delta mass:12.036)',CCMSLIB00000841586,12.04,2708,Drug_suspect,losartan,angiotensin II receptor blocker,cardiology|nephrology,hypertension|diabetic nephropathy,angiotensin receptor antagonist,PSIFNNKUMBGKDQ-UHFFFAOYSA-N
CCMSLIB00012725069,related spectra of 'massbankeu:sm818901 losartan|[2-butyl-5-chloro-3-[[4-[2-(2h-tetrazol-5-yl)phenyl]phenyl]methyl]imidazol-4-yl]methanol (delta mass:15.995)',CCMSLIB00000841586,15.99,2709,Drug_suspect,losartan,angiotensin II receptor blocker,cardiology|nephrology,hypertension|diabetic nephropathy,angiotensin receptor antagonist,PSIFNNKUMBGKDQ-UHFFFAOYSA-N
CCMSLIB00012725070,related spectra of 'massbankeu:sm818901 losartan|[2-butyl-5-chloro-3-[[4-[2-(2h-tetrazol-5-yl)phenyl]phenyl]methyl]imidazol-4-yl]methanol (delta mass:176.032)',CCMSLIB00000841586,176.03,2710,Drug_suspect,losartan,angiotensin II receptor blocker,cardiology|nephrology,hypertension|diabetic nephropathy,angiotensin receptor antagonist,PSIFNNKUMBGKDQ-UHFFFAOYSA-N
CCMSLIB00012725071,"related spectra of 'massbankeu:sm833651 pantoprazole|6-(difluoromethoxy)-2-[(3,4-dimethoxypyridin-2-yl)methylsulfinyl]-1h-benzimidazole (delta mass:-15.995)'",CCMSLIB00000841678,-15.99,2711,Drug_suspect,pantoprazole,proton pump inhibitor,gastroenterology,gastroesophageal reflux disease (GERD)|erosive esophagitis (EE)|Zollinger-Ellison syndrome,ATPase inhibitor,IQPSEEYGBUAQFF-UHFFFAOYSA-N
CCMSLIB00012725072,"related spectra of 'massbankeu:sm850301 sulfamethazine|4-amino-n-(4,6-dimethylpyrimidin-2-yl)benzenesulfonamide (delta mass:0.984)'",CCMSLIB00000841836,0.98,2712,Drug_suspect|Background/QAQC,sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012725073,"related spectra of 'massbankeu:sm850301 sulfamethazine|4-amino-n-(4,6-dimethylpyrimidin-2-yl)benzenesulfonamide (delta mass:1.993)'",CCMSLIB00000841836,2,2713,Drug_suspect|Background/QAQC,sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012725074,"related spectra of 'massbankeu:sm850301 sulfamethazine|4-amino-n-(4,6-dimethylpyrimidin-2-yl)benzenesulfonamide (delta mass:2.004)'",CCMSLIB00000841836,2,2714,Drug_suspect|Background/QAQC,sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012725075,"related spectra of 'massbankeu:sm850301 sulfamethazine|4-amino-n-(4,6-dimethylpyrimidin-2-yl)benzenesulfonamide (delta mass:15.995)'",CCMSLIB00000841836,15.99,2715,Drug_suspect|Background/QAQC,sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012725076,"related spectra of 'massbankeu:sm850301 sulfamethazine|4-amino-n-(4,6-dimethylpyrimidin-2-yl)benzenesulfonamide (delta mass:27.995)'",CCMSLIB00000841836,27.99,2716,Drug_suspect|Background/QAQC,sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012725077,"related spectra of 'massbankeu:sm850301 sulfamethazine|4-amino-n-(4,6-dimethylpyrimidin-2-yl)benzenesulfonamide (delta mass:28.031)'",CCMSLIB00000841836,28.03,2717,Drug_suspect|Background/QAQC,sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012725078,"related spectra of 'massbankeu:sm850301 sulfamethazine|4-amino-n-(4,6-dimethylpyrimidin-2-yl)benzenesulfonamide (delta mass:162.053)'",CCMSLIB00000841836,162.05,2718,Drug_suspect|Background/QAQC,sulfamethazine,sulfonamide antimicrobial,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,PABA antagonist,ASWVTGNCAZCNNR-UHFFFAOYSA-N
CCMSLIB00012725079,"related spectra of 'massbankeu:sm859002 acetyl-sulfamethoxazole|n-[4-[(5-methyl-1,2-oxazol-3-yl)sulfamoyl]phenyl]acetamide (delta mass:-14.016)'",CCMSLIB00000841909,-14.02,2719,Drug_suspect,acetylsulfamethoxazole,sulfonamide antimicrobial,infectious disease,pneumonia|enteritis|urinary tract infections,PABA antagonist,GXPIUNZCALHVBA-UHFFFAOYSA-N
CCMSLIB00012725080,"related spectra of 'massbankeu:sm859203 amitriptyline|3-(5,6-dihydrodibenzo[2,1-b:2`,1`-f][7]annulen-11-ylidene)-n,n-dimethylpropan-1-amine (delta mass:1.003)'",CCMSLIB00000841910,1,2720,Drug_suspect|Background/QAQC,amitriptyline,tricyclic antidepressant (TCA),neurology/psychiatry,depression|chronic pain,norepinephrine reuptake inhibitor|serotonin reuptake inhibitor,KRMDCWKBEZIMAB-UHFFFAOYSA-N
CCMSLIB00012725081,related spectra of 'massbankeu:sm860801 valsartan|(2s)-3-methyl-2-[pentanoyl-[[4-[2-(2h-tetrazol-5-yl)phenyl]phenyl]methyl]amino]butanoic acid (delta mass:-18.011)',CCMSLIB00000841928,-18.01,2721,Drug_suspect,valsartan,angiotensin II receptor blocker,cardiology|nephrology,hypertension|congestive heart failure|chronic kidney disease|diabetic nephropaty,angiotensin receptor antagonist,ACWBQPMHZXGDFX-QFIPXVFZSA-N
CCMSLIB00012725082,related spectra of 'massbankeu:sm860801 valsartan|(2s)-3-methyl-2-[pentanoyl-[[4-[2-(2h-tetrazol-5-yl)phenyl]phenyl]methyl]amino]butanoic acid (delta mass:-2.016)',CCMSLIB00000841928,-2.02,2722,Drug_suspect,valsartan,angiotensin II receptor blocker,cardiology|nephrology,hypertension|congestive heart failure|chronic kidney disease|diabetic nephropaty,angiotensin receptor antagonist,ACWBQPMHZXGDFX-QFIPXVFZSA-N
CCMSLIB00012725083,related spectra of 'massbankeu:sm860801 valsartan|(2s)-3-methyl-2-[pentanoyl-[[4-[2-(2h-tetrazol-5-yl)phenyl]phenyl]methyl]amino]butanoic acid (delta mass:17.027)',CCMSLIB00000841928,17.03,2723,Drug_suspect,valsartan,angiotensin II receptor blocker,cardiology|nephrology,hypertension|congestive heart failure|chronic kidney disease|diabetic nephropaty,angiotensin receptor antagonist,ACWBQPMHZXGDFX-QFIPXVFZSA-N
CCMSLIB00012725084,related spectra of 'massbankeu:sm860801 valsartan|(2s)-3-methyl-2-[pentanoyl-[[4-[2-(2h-tetrazol-5-yl)phenyl]phenyl]methyl]amino]butanoic acid (delta mass:29.974)',CCMSLIB00000841928,29.97,2724,Drug_suspect,valsartan,angiotensin II receptor blocker,cardiology|nephrology,hypertension|congestive heart failure|chronic kidney disease|diabetic nephropaty,angiotensin receptor antagonist,ACWBQPMHZXGDFX-QFIPXVFZSA-N
CCMSLIB00012725085,related spectra of 'matrine (delta mass:15.995)',CCMSLIB00010147062|CCMSLIB00010147063|CCMSLIB00010147064|CCMSLIB00010147065|CCMSLIB00010147066|CCMSLIB00010147067|CCMSLIB00010147068|CCMSLIB00010147069,15.99,2725,Drug_suspect,matrine,no_match,NA,NA,opioid receptor agonist,ZSBXGIUJOOQZMP-JLNYLFASSA-N
CCMSLIB00012725086,related spectra of 'meloxicam (mobic) (delta mass:15.995)',CCMSLIB00000077137,15.99,2726,Drug_suspect,meloxicam,nonsteroidal anti-inflammatory drug,rheumatology|neurology/psychiatry,osteoarthritis|rheumatoid arthritis,cyclooxygenase inhibitor,ZRVUJXDFFKFLMG-UHFFFAOYSA-N
CCMSLIB00012725087,related spectra of 'meloxicam (mobic) (delta mass:29.974)',CCMSLIB00000077137,29.97,2727,Drug_suspect,meloxicam,nonsteroidal anti-inflammatory drug,rheumatology|neurology/psychiatry,osteoarthritis|rheumatoid arthritis,cyclooxygenase inhibitor,ZRVUJXDFFKFLMG-UHFFFAOYSA-N
CCMSLIB00012725088,"related spectra of 'mirtazapine (remeron, avanza) (delta mass:13.98)'",CCMSLIB00000078388|CCMSLIB00000078389,13.98,2728,Drug_suspect,mirtazapine,other antidepressants,neurology/psychiatry,depression,adrenergic receptor antagonist|serotonin receptor antagonist,RONZAEMNMFQXRA-UHFFFAOYSA-N
CCMSLIB00012725089,related spectra of 'moxifloxacin (delta mass:13.98)',CCMSLIB00000081725,13.98,2729,Drug_suspect,moxifloxacin,fluoroquinolone antimicrobial,infectious disease,sinusitis|bronchitis|pneumonia|skin infections|intra-abdominal infections,bacterial DNA gyrase inhibitor,FABPRXSRWADJSP-MEDUHNTESA-N
CCMSLIB00012725090,related spectra of 'mycophenolic acid_130117 (delta mass:-18.011)',CCMSLIB00000478521,-18.01,2730,Drug_suspect,mycophenolic acid,antimetabolite immunosuppressant,transplant,organ rejection,inosine-5'-monophosphatase dehydrogenase inhibitor,HPNSFSBZBAHARI-RUDMXATFSA-N
CCMSLIB00012725091,related spectra of 'mycophenolic acid_130117 (delta mass:2.016)',CCMSLIB00000478521,2.02,2731,Drug_suspect,mycophenolic acid,antimetabolite immunosuppressant,transplant,organ rejection,inosine-5'-monophosphatase dehydrogenase inhibitor,HPNSFSBZBAHARI-RUDMXATFSA-N
CCMSLIB00012725092,related spectra of 'mycophenolic acid_130117 (delta mass:28.031)',CCMSLIB00000478521,28.03,2732,Drug_suspect,mycophenolic acid,antimetabolite immunosuppressant,transplant,organ rejection,inosine-5'-monophosphatase dehydrogenase inhibitor,HPNSFSBZBAHARI-RUDMXATFSA-N
CCMSLIB00012725093,related spectra of 'mycophenolic acid_130117 (delta mass:176.032)',CCMSLIB00000478521,176.03,2733,Drug_suspect,mycophenolic acid,antimetabolite immunosuppressant,transplant,organ rejection,inosine-5'-monophosphatase dehydrogenase inhibitor,HPNSFSBZBAHARI-RUDMXATFSA-N
CCMSLIB00012725094,related spectra of 'n-acetyl mesalazine (delta mass:14.016)',CCMSLIB00000579422|CCMSLIB00000579593,14.02,2734,Drug_suspect,n-acetyl mesalazine,aminosalicylate,gastroenterology,ulcerative colitis,cyclooxygenase inhibitor|lipoxygenase inhibitor|prostanoid receptor antagonist,GEFDRROBUCULOD-UHFFFAOYSA-N
CCMSLIB00012725095,related spectra of 'n-acetyl mesalazine (delta mass:28.031)',CCMSLIB00000579422|CCMSLIB00000579593,28.03,2735,Drug_suspect,n-acetyl mesalazine,aminosalicylate,gastroenterology,ulcerative colitis,cyclooxygenase inhibitor|lipoxygenase inhibitor|prostanoid receptor antagonist,GEFDRROBUCULOD-UHFFFAOYSA-N
CCMSLIB00012725096,related spectra of 'n-desmethylclindamycin (delta mass:-2.016)',CCMSLIB00005716875,-2.02,2736,Drug_suspect,"methyl 7-chloro-6,7,8-trideoxy-6-[[[(2s,4r)-4beta-propyl-2alpha-pyrrolidinyl]carbonyl]amino]-1-thio-l-threo-alpha-d-galacto-octopyranoside",lincosamide antibacterial,infectious disease,respiratory tract infections|pneumonia|skin infections|gynecologic infections|intra-abdominal infections|bacterial septicemia|bone and joint infections,bacterial 50S ribosomal subunit inhibitor,HDBHHHCDEYATPY-UHFFFAOYSA-N
CCMSLIB00012725097,related spectra of 'n-desmethylclindamycin (delta mass:12.0)',CCMSLIB00005716875,12,2737,Drug_suspect,"methyl 7-chloro-6,7,8-trideoxy-6-[[[(2s,4r)-4beta-propyl-2alpha-pyrrolidinyl]carbonyl]amino]-1-thio-l-threo-alpha-d-galacto-octopyranoside",lincosamide antibacterial,infectious disease,respiratory tract infections|pneumonia|skin infections|gynecologic infections|intra-abdominal infections|bacterial septicemia|bone and joint infections,bacterial 50S ribosomal subunit inhibitor,HDBHHHCDEYATPY-UHFFFAOYSA-N
CCMSLIB00012725098,related spectra of 'n-desmethylclindamycin (delta mass:27.995)',CCMSLIB00005716875,27.99,2738,Drug_suspect,"methyl 7-chloro-6,7,8-trideoxy-6-[[[(2s,4r)-4beta-propyl-2alpha-pyrrolidinyl]carbonyl]amino]-1-thio-l-threo-alpha-d-galacto-octopyranoside",lincosamide antibacterial,infectious disease,respiratory tract infections|pneumonia|skin infections|gynecologic infections|intra-abdominal infections|bacterial septicemia|bone and joint infections,bacterial 50S ribosomal subunit inhibitor,HDBHHHCDEYATPY-UHFFFAOYSA-N
CCMSLIB00012725099,related spectra of 'n-desmethylclindamycin (delta mass:31.99)',CCMSLIB00005716875,31.99,2739,Drug_suspect,"methyl 7-chloro-6,7,8-trideoxy-6-[[[(2s,4r)-4beta-propyl-2alpha-pyrrolidinyl]carbonyl]amino]-1-thio-l-threo-alpha-d-galacto-octopyranoside",lincosamide antibacterial,infectious disease,respiratory tract infections|pneumonia|skin infections|gynecologic infections|intra-abdominal infections|bacterial septicemia|bone and joint infections,bacterial 50S ribosomal subunit inhibitor,HDBHHHCDEYATPY-UHFFFAOYSA-N
CCMSLIB00012725100,related spectra of 'n-desmethylclindamycin sulfoxide (delta mass:12.0)',CCMSLIB00005716878,12,2740,Drug_suspect,n-desmethylclindamycin sulfoxide,lincosamide antibacterial,infectious disease,respiratory tract infections|pneumonia|skin infections|gynecologic infections|intra-abdominal infections|bacterial septicemia|bone and joint infections,bacterial 50S ribosomal subunit inhibitor,RKZYQAJFAZGGKD-UHFFFAOYSA-N
